workclass,marital-status,occupation,race,sex,user_id,age,salary,education_rank,mins_beerdrinking_year,mins_exercising_year,works_hours,tea_per_year,coffee_per_year,great_customer_class
private,Never-married,sales,not_caucasian,Male,1004889.0,14.0,70773.0,9.0,0.0,0.0,40.0,399.0,359.7081694672864,0.0
private,Divorced,sales,caucasian,Female,1012811.0,25.0,76597.0,9.0,0.0,0.0,30.0,256.0,359.7081694672864,0.0
private,Never-married,clerical,caucasian,Female,1006870.0,21.0,47947.25,10.0,0.0,0.0,10.0,442.0,276.0,0.0
private,Divorced,sales,caucasian,Female,1022149.0,23.0,41740.25,7.0,0.0,0.0,20.0,217.27654431512983,359.7081694672864,0.0
private,Married,sales,not_caucasian,Male,1029558.0,26.0,37149.29735524019,9.0,447.9206072106262,0.0,36.0,217.27654431512983,120.0,0.0
private,Never-married,professional,caucasian,Female,1022394.0,26.0,59060.5,15.0,0.0,0.0,30.0,177.0,377.0,0.0
private,Divorced,farm,not_caucasian,Male,1026358.0,58.0,56400.75,5.0,0.0,0.0,40.0,11.0,98.0,0.0
private,Divorced,sales,caucasian,Female,1026126.0,23.0,11329.25,10.0,0.0,0.0,40.0,29.0,276.0,0.0
private,Never-married,craft,caucasian,Male,1011738.0,14.0,21850.5,10.0,0.0,0.0,40.0,375.0,359.7081694672864,0.0
private,Never-married,factory,not_caucasian,Female,1024034.0,33.0,55331.0,9.0,0.0,0.0,40.0,375.0,77.0,0.0
private,Divorced,craft,caucasian,Male,1039999.0,40.0,70919.0,10.0,447.9206072106262,0.0,40.0,309.0,359.7081694672864,0.0
private,Never-married,sales,caucasian,Female,1041701.0,18.0,15245.25,10.0,2176.0,0.0,35.0,217.27654431512983,159.0,0.0
private,Never-married,professional,caucasian,Male,1020916.0,18.0,44170.75,12.0,0.0,0.0,40.0,481.0,359.7081694672864,0.0
self_employed,Divorced,tech,caucasian,Male,1048161.0,59.0,20885.5,12.0,0.0,0.0,40.0,175.0,499.0,0.0
government,Divorced,professional,caucasian,Male,1019087.0,47.0,47096.5,14.0,0.0,0.0,38.0,39.0,312.0,0.0
self_employed,Widowed,tech,not_caucasian,Female,1017739.0,76.0,52863.25,9.0,0.0,46.03422370617696,2.0,305.0,228.0,0.0
private,Married,service,caucasian,Female,1033665.0,35.0,80048.0,2.0,0.0,0.0,40.0,217.27654431512983,359.7081694672864,0.0
self_employed,Divorced,tech,caucasian,Female,1036508.0,40.0,16386.25,14.0,0.0,0.0,55.0,217.27654431512983,177.0,0.0
government,Married,professional,not_caucasian,Male,1024759.0,30.0,37149.29735524019,14.0,0.0,0.0,10.0,208.0,37.0,0.0
government,Divorced,executive,caucasian,Male,1041378.0,47.0,35977.5,13.0,0.0,46.03422370617696,40.0,37.0,359.7081694672864,0.0
government,Married,executive,caucasian,Male,1012715.0,67.0,41921.75,9.0,3456.0,0.0,35.0,446.0,41.0,0.0
private,Never-married,sales,caucasian,Female,1032084.0,20.0,37776.25,12.0,0.0,0.0,25.0,152.0,436.0,0.0
private,Married,sales,caucasian,Male,1040534.0,44.0,17187.0,10.0,0.0,0.0,48.0,217.27654431512983,274.0,0.0
private,Never-married,sales,caucasian,Female,1015941.0,19.0,28195.0,10.0,0.0,0.0,20.0,217.27654431512983,130.0,0.0
private,Never-married,factory,not_caucasian,Male,1017078.0,25.0,79172.0,9.0,0.0,0.0,40.0,242.0,457.0,0.0
private,Married,sales,caucasian,Male,1031332.0,35.0,70241.5,10.0,0.0,0.0,40.0,217.27654431512983,185.0,0.0
private,Married,craft,caucasian,Male,1022771.0,51.0,34713.0,9.0,0.0,0.0,40.0,217.27654431512983,183.0,0.0
private,Never-married,service,caucasian,Male,1025552.0,21.0,18148.25,9.0,0.0,0.0,40.0,245.0,462.0,0.0
private,Married,clerical,caucasian,Male,1040097.0,32.0,19121.75,9.0,0.0,0.0,45.0,217.27654431512983,359.7081694672864,0.0
private,Never-married,professional,caucasian,Male,1016721.0,29.0,90856.25,13.0,0.0,0.0,40.0,405.0,386.0,0.0
private,Married,factory,caucasian,Male,1027323.0,50.0,84401.5,9.0,447.9206072106262,1485.0,40.0,217.27654431512983,490.0,0.0
private,Married,tech,caucasian,Male,1046808.0,30.0,26223.0,13.0,0.0,0.0,40.0,217.27654431512983,359.7081694672864,0.0
government,Divorced,executive,caucasian,Male,1026913.0,41.0,49389.5,13.0,0.0,0.0,40.0,341.0,14.0,0.0
private,Married,craft,caucasian,Male,1021657.0,33.0,21687.5,11.0,0.0,0.0,99.0,78.0,359.7081694672864,0.0
private,Married,factory,caucasian,Female,1047993.0,24.0,70240.0,9.0,0.0,0.0,24.0,45.0,247.0,0.0
private,Never-married,service,not_caucasian,Female,1022127.0,33.0,27749.5,9.0,0.0,0.0,36.0,217.27654431512983,353.0,0.0
government,Divorced,clerical,caucasian,Female,1018692.0,36.0,79743.0,10.0,0.0,0.0,65.0,217.27654431512983,222.0,0.0
private,Married,factory,caucasian,Male,1013482.0,33.0,44670.75,10.0,5013.0,0.0,40.0,368.0,66.0,0.0
private,Never-married,clerical,caucasian,Female,1029653.0,25.0,63962.25,9.0,0.0,0.0,40.0,217.27654431512983,363.0,0.0
private,Married,craft,caucasian,Male,1041196.0,46.0,18723.75,12.0,0.0,1485.0,55.0,217.27654431512983,191.0,0.0
private,Never-married,service,caucasian,Male,1027830.0,14.0,49160.75,10.0,0.0,0.0,20.0,478.0,359.7081694672864,0.0
private,Married,executive,caucasian,Male,1030514.0,40.0,19493.75,10.0,0.0,0.0,40.0,217.27654431512983,322.0,0.0
private,Married,trucker,caucasian,Male,1046854.0,24.0,28141.0,9.0,0.0,0.0,45.0,120.0,359.7081694672864,0.0
private,Never-married,clerical,caucasian,Male,1040473.0,34.0,9302.5,9.0,0.0,0.0,50.0,217.27654431512983,50.0,0.0
private,Married,clerical,caucasian,Female,1028553.0,41.0,49479.75,9.0,0.0,0.0,60.0,497.0,200.0,0.0
private,Never-married,cleaner,caucasian,Male,1034360.0,22.0,57188.0,9.0,0.0,46.03422370617696,40.0,179.0,438.0,0.0
private,Widowed,clerical,caucasian,Female,1018348.0,44.8420094096221,24709.25,9.0,0.0,0.0,40.0,381.0,359.7081694672864,0.0
government,Never-married,lawenf,caucasian,Male,1012810.0,33.0,86018.25,13.0,0.0,1408.0,50.0,217.27654431512983,100.0,0.0
private,Never-married,clerical,not_caucasian,Female,1047244.0,34.0,57101.5,10.0,0.0,0.0,40.0,168.0,496.0,0.0
government,Married,craft,caucasian,Male,1032061.0,23.0,62086.5,12.0,0.0,0.0,50.0,217.27654431512983,359.7081694672864,0.0
private,Never-married,factory,caucasian,Male,1017640.0,23.0,45455.0,10.0,0.0,0.0,40.0,61.0,207.0,0.0
private,Married,professional,caucasian,Male,1032666.0,25.0,48068.25,13.0,0.0,0.0,40.0,372.0,196.0,0.0
private,Married,executive,not_caucasian,Male,1033423.0,29.0,51312.25,14.0,0.0,0.0,40.0,72.0,235.0,0.0
private,Divorced,craft,caucasian,Male,1006963.0,24.0,64282.0,9.0,0.0,0.0,40.0,217.27654431512983,359.7081694672864,0.0
private,Divorced,sales,caucasian,Female,1020488.0,64.0,80291.5,13.0,0.0,0.0,5.0,355.0,167.0,0.0
private,Married,factory,not_caucasian,Male,1034842.0,44.8420094096221,38938.0,10.0,0.0,0.0,40.0,52.0,62.0,0.0
government,Married,service,caucasian,Male,1004985.0,59.0,42605.75,9.0,0.0,0.0,40.0,411.0,320.0,0.0
self_employed,Never-married,tech,caucasian,Male,1041698.0,21.0,10013.0,10.0,0.0,2001.0,45.0,217.27654431512983,369.0,0.0
private,Never-married,clerical,caucasian,Female,1029438.0,44.0,10619.0,9.0,0.0,0.0,30.0,481.0,241.0,0.0
private,Divorced,professional,caucasian,Female,1001936.0,41.0,48634.25,13.0,447.9206072106262,0.0,40.0,217.27654431512983,365.0,0.0
self_employed,Never-married,tech,caucasian,Male,1021807.0,20.0,50420.0,10.0,0.0,0.0,35.0,431.0,325.0,0.0
