salary,mins_beerdrinking_year,works_hours,mins_exercising_year,education_rank,coffee_per_year,great_customer_class
70773.0,0.0,40.0,0.0,9.0,359.7081694672864,0.0
76597.0,0.0,30.0,0.0,9.0,359.7081694672864,0.0
47947.25,0.0,10.0,0.0,10.0,276.0,0.0
41740.25,0.0,20.0,0.0,7.0,359.7081694672864,0.0
37149.29735524019,447.9206072106262,36.0,0.0,9.0,120.0,0.0
59060.5,0.0,30.0,0.0,15.0,377.0,0.0
56400.75,0.0,40.0,0.0,5.0,98.0,0.0
11329.25,0.0,40.0,0.0,10.0,276.0,0.0
21850.5,0.0,40.0,0.0,10.0,359.7081694672864,0.0
55331.0,0.0,40.0,0.0,9.0,77.0,0.0
70919.0,447.9206072106262,40.0,0.0,10.0,359.7081694672864,0.0
15245.25,2176.0,35.0,0.0,10.0,159.0,0.0
44170.75,0.0,40.0,0.0,12.0,359.7081694672864,0.0
20885.5,0.0,40.0,0.0,12.0,499.0,0.0
47096.5,0.0,38.0,0.0,14.0,312.0,0.0
52863.25,0.0,2.0,46.03422370617696,9.0,228.0,0.0
80048.0,0.0,40.0,0.0,2.0,359.7081694672864,0.0
16386.25,0.0,55.0,0.0,14.0,177.0,0.0
37149.29735524019,0.0,10.0,0.0,14.0,37.0,0.0
35977.5,0.0,40.0,46.03422370617696,13.0,359.7081694672864,0.0
41921.75,3456.0,35.0,0.0,9.0,41.0,0.0
37776.25,0.0,25.0,0.0,12.0,436.0,0.0
17187.0,0.0,48.0,0.0,10.0,274.0,0.0
28195.0,0.0,20.0,0.0,10.0,130.0,0.0
79172.0,0.0,40.0,0.0,9.0,457.0,0.0
70241.5,0.0,40.0,0.0,10.0,185.0,0.0
34713.0,0.0,40.0,0.0,9.0,183.0,0.0
18148.25,0.0,40.0,0.0,9.0,462.0,0.0
19121.75,0.0,45.0,0.0,9.0,359.7081694672864,0.0
90856.25,0.0,40.0,0.0,13.0,386.0,0.0
84401.5,447.9206072106262,40.0,1485.0,9.0,490.0,0.0
26223.0,0.0,40.0,0.0,13.0,359.7081694672864,0.0
49389.5,0.0,40.0,0.0,13.0,14.0,0.0
21687.5,0.0,99.0,0.0,11.0,359.7081694672864,0.0
70240.0,0.0,24.0,0.0,9.0,247.0,0.0
27749.5,0.0,36.0,0.0,9.0,353.0,0.0
